date,track,artist,feats,current_pos,peak_pos,prev_pos,streak,streams,country,country_short,track_uri,artist_uri
2023-12-28,All I Want for Christmas Is You,Mariah Carey,[],1,1,1,8,75826005,Global,global,0bYg9bo50gSsH3LtXe2SQn,4iHNK0tOyZPYnBU7nGAgpQ
2023-12-28,Last Christmas - Single Version,Wham!,[],2,2,2,8,71138282,Global,global,06qMRF18gwbOYYbnP2du6i,5lpH0xAS4fVfLkACg9DAuM
2023-12-28,Rockin' Around The Christmas Tree,Brenda Lee,[],3,3,3,7,62796483,Global,global,2EjXfH91m7f8HiJN1yQg97,4cPHsZM98sKzmV26wlwD2W
2023-12-28,Jingle Bell Rock,Bobby Helms,[],4,4,4,7,51705845,Global,global,6TkXViJUO3SA6FMcrNwlD9,38EmEgXkgK51MT2tPY0EoC
2023-12-28,Santa Tell Me,Ariana Grande,[],5,3,6,7,48192239,Global,global,0lizgQ7Qw35od7CYaoMBZb,66CXWjxzNUsdJxJ2JdwvnR
2023-12-28,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,[],6,6,9,6,45178784,Global,global,2uFaJJtFpPDc5Pa95XzTvg,49e4v89VmlDcFCMyDv9wQ9
2023-12-28,It's Beginning to Look a Lot like Christmas,Michael Bublé,[],7,6,7,6,44884310,Global,global,1rv46mRwDqMEhOBZ7vODg3,1GxkXlMwML1oSg5eLPiAz3
2023-12-28,It's the Most Wonderful Time of the Year,Andy Williams,[],8,7,8,6,44800288,Global,global,1IcR6RlgvDczfvoWJSSY2A,4sj6D0zlMOl25nprDJBiU9
2023-12-28,Snowman,Sia,[],9,9,11,6,40194456,Global,global,7uoFMmxln0GPXQ0AcCBXRq,5WUlDfRSoLAfcVSX1WnrxN
2023-12-28,Feliz Navidad,José Feliciano,[],10,8,16,5,39496130,Global,global,3qCeq0rWK67SoBDgFd2sId,7K78lVZ8XzkjfRSI7570FF
2023-12-28,Underneath the Tree,Kelly Clarkson,[],11,9,14,6,38514366,Global,global,3nAp4IvdMPPWEH9uuXFFV5,3BmGtnKgCSGYIUhmivXKWX
2023-12-28,Sleigh Ride,The Ronettes,[],12,12,18,5,35714786,Global,global,7fUYUcWy853HS8YJn0b3Sr,7CyeXFnOrfC1N6z4naIpgo
2023-12-28,Holly Jolly Christmas,Michael Bublé,[],13,12,15,5,32761977,Global,global,6tjituizSxwSmBB5vtgHZE,1GxkXlMwML1oSg5eLPiAz3
2023-12-28,greedy,Tate McRae,[],14,1,5,15,31137444,Global,global,3rUGC1vUpkDG9CZFHMur1t,45dkTj5sMRSjrmBSBeiHym
2023-12-28,Mistletoe,Justin Bieber,[],15,15,23,5,29149096,Global,global,7xapw9Oy21WpfEcib2ErSA,1uNFoZAHBGtllmzznpCI3s
2023-12-28,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,['Yoko Ono'],16,13,33,5,28371502,Global,global,27RYrbL6S02LNVhDWVl38b,4x1nvY2FN8jxqAFA0DA02H
2023-12-28,La Diabla,Xavi,[],17,17,19,3,26729893,Global,global,0R6NfOiLzLj4O5VbYSJAjf,3Me35AWHCGqW4sZ7bWWJt1
2023-12-28,My Love Mine All Mine,Mitski,[],18,3,10,14,26062213,Global,global,3vkCueOmm7xQDoJ17W1Pm3,2uYWxilOVlUdk4oV9DvwqK
2023-12-28,Lovin On Me,Jack Harlow,[],19,5,12,7,25843723,Global,global,4xhsWYTOGcal8zt0J161CU,2LIk90788K0zvyj2JJVwkJ
2023-12-28,Cruel Summer,Taylor Swift,[],20,2,13,41,25751705,Global,global,1BxfuPKGuaTgP7aM0Bbdwr,06HL4z0CvFAxyc27GXpf02
2023-12-28,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,['B. Swanson Quartet'],21,19,38,5,25415853,Global,global,4kKdvXD0ez7jp1296JmAts,1Mxqyy3pSjf8kZZL4QVxS0
2023-12-28,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,[],22,15,44,5,25390553,Global,global,1SV1fxF65n9NhRHp3KlBuu,4STHEaNw4mPZ2tzheohgXB
2023-12-28,A Holly Jolly Christmas,Burl Ives,[],23,23,37,5,25299396,Global,global,77khP2fIVhSW23NwxrRluh,0MHgLfmQdutffmvWe5XBTN
2023-12-28,The Christmas Song (Merry Christmas To You),Nat King Cole,[],24,24,41,5,25023002,Global,global,5humEOJehpAwMJEJmb0JJ2,7v4imS0moSyGdXyLgVTIV7
2023-12-28,Driving Home for Christmas - 2019 Remaster,Chris Rea,[],25,21,50,4,24826048,Global,global,27qAMKrDdKEs8HDXcvR24R,5KEG7G8LDYlHgFDqZyEEs2
2023-12-28,Merry Christmas Everyone,Shakin' Stevens,[],26,26,45,5,23805036,Global,global,2TE4xW3ImvpltVU0cPcKUn,0wi4yTYlGtEnbGo4ltZTib
2023-12-28,Merry Christmas,Ed Sheeran,['Elton John'],27,23,59,4,23503904,Global,global,3bH2Eu9A9ymI4UnGHRmoXg,6eUKZXaKkcviH0Ku9w2n3V
2023-12-28,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,"['JENNIE', 'Lily-Rose Depp']",28,15,17,12,23425606,Global,global,7CyPwkp0oE8Ro9Dd5CUDjW,1Xyo4u8uXC1ZmMpatF05PJ
2023-12-28,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,"['The Fontane Sisters', 'Mitchell Ayres & His Orchestra']",29,29,51,5,23078269,Global,global,2pXpURmn6zC5ZYDMms6fwa,5v8jlSmAQfrkTjAlpUfWtu
